Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
399.587,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,fish-left out of shell,,,POINT
1185.367,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,tailbeat,,,START
1189.622,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,tailbeat,,,STOP
2474.839,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,fish-right out of shell,,,POINT
2478.839,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
2481.004,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
2587.764,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
2589.005,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
2597.255,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
2597.264,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
2630.254,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
2632.256,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
2638.262,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
2642.587,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
2643.512,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
2647.869,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
2648.705,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
2650.590,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
2654.451,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
2660.287,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
